DATE,ID,SONG,ARTIST,ALBUM
2021-09-06 : 22,22,Essence (feat. Justin Bieber & Tems),"
 
 WizKid 
 ","
 

 Made In Lagos: Deluxe Edition


 "
2021-09-06 : 23,23,Todo De Ti,"
 
 ラウ・アレハンドロ 
 ","
 

 Todo De Ti - Single


 "
2021-09-06 : 24,24,La Mamá de la Mamá (feat. El Cherry Scom),"
 
 El Alfa、 CJ、 Chael Produciendo 
 ","
 

 La Mamá de la Mamá (feat. El Cherry Scom) - Single


 "
2021-09-06 : 25,25,Woman,"
 
 Doja Cat 
 ","
 

 Planet Her


 "
2021-09-06 : 3,3,Champagne Poetry,"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-06 : 4,4,GYALIS,"
 
 Capella Grey 
 ","
 

 GYALIS - Single


 "
2021-09-06 : 5,5,Hurricane,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-06 : 6,6,Off The Grid,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-06 : 7,7,Pepas,"
 
 Farruko 
 ","
 

 Pepas - Single


 "
2021-09-06 : 8,8,Jail,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-06 : 9,9,Sharing Locations (feat. Lil Baby & Lil Durk),"
 
 ミーク・ミル 
 ","
 

 Sharing Locations (feat. Lil Baby & Lil Durk) - Single


 "
2021-09-07 : 1,1,Girls Want Girls (feat. Lil Baby),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-07 : 10,10,Blue Notes 2 (feat. Lil Uzi Vert),"
 
 ミーク・ミル 
 ","
 

 Blue Notes 2 (feat. Lil Uzi Vert) - Single


 "
2021-09-07 : 11,11,Essence (feat. Tems),"
 
 WizKid 
 ","
 

 Made In Lagos


 "
2021-09-07 : 12,12,Volví,"
 
 Aventura、 バッド・バニー 
 ","
 

 Volví - Single


 "
2021-09-07 : 13,13,STAY,"
 
 ザ・キッド・ラロイ、 ジャスティン・ビーバー 
 ","
 

 STAY - Single


 "
2021-09-07 : 14,14,Being Honest,"
 
 Kay Flock 
 ","
 

 Being Honest - Single


 "
2021-09-07 : 15,15,No Time For Sleep (Freestyle),"
 
 Bobby Shmurda 
 ","
 

 No Time For Sleep (Freestyle) - Single


 "
2021-09-07 : 16,16,IYKYK,"
 
 B-Lovee 
 ","
 

 IYKYK - Single


 "
2021-09-07 : 17,17,Yonaguni,"
 
 バッド・バニー 
 ","
 

 Yonaguni - Single


 "
2021-09-07 : 18,18,Ley Seca,"
 
 ジャイ・コルテッツ、 アヌエルAA 
 ","
 

 Timelezz


 "
2021-09-07 : 19,19,2/Catorce,"
 
 ラウ・アレハンドロ、 Mr. Naisgai 
 ","
 

 2/Catorce - Single


 "
2021-09-07 : 2,2,Fair Trade (feat. Travis Scott),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-07 : 20,20,Linda,"
 
 Tokischa、 ロザリア 
 ","
 

 Linda - Single


 "
2021-09-07 : 21,21,family ties,"
 
 Baby Keem、 ケンドリック・ラマー 
 ","
 

 family ties - Single


 "
2021-09-07 : 22,22,La Mamá de la Mamá (feat. El Cherry Scom),"
 
 El Alfa、 CJ、 Chael Produciendo 
 ","
 

 La Mamá de la Mamá (feat. El Cherry Scom) - Single


 "
2021-09-07 : 23,23,Essence (feat. Justin Bieber & Tems),"
 
 WizKid 
 ","
 

 Made In Lagos: Deluxe Edition


 "
2021-09-07 : 24,24,Todo De Ti,"
 
 ラウ・アレハンドロ 
 ","
 

 Todo De Ti - Single


 "
2021-09-07 : 25,25,Woman,"
 
 Doja Cat 
 ","
 

 Planet Her


 "
2021-09-07 : 3,3,Way 2 Sexy (feat. Future & Young Thug),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-07 : 4,4,GYALIS,"
 
 Capella Grey 
 ","
 

 GYALIS - Single


 "
2021-09-07 : 5,5,Hurricane,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-07 : 6,6,Off The Grid,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-07 : 7,7,Pepas,"
 
 Farruko 
 ","
 

 Pepas - Single


 "
2021-09-07 : 8,8,Jail,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-07 : 9,9,Sharing Locations (feat. Lil Baby & Lil Durk),"
 
 ミーク・ミル 
 ","
 

 Sharing Locations (feat. Lil Baby & Lil Durk) - Single


 "
2021-09-08 : 1,1,Girls Want Girls (feat. Lil Baby),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-08 : 10,10,Blue Notes 2 (feat. Lil Uzi Vert),"
 
 ミーク・ミル 
 ","
 

 Blue Notes 2 (feat. Lil Uzi Vert) - Single


 "
2021-09-08 : 11,11,Essence (feat. Tems),"
 
 WizKid 
 ","
 

 Made In Lagos


 "
2021-09-08 : 12,12,STAY,"
 
 ザ・キッド・ラロイ、 ジャスティン・ビーバー 
 ","
 

 STAY - Single


 "
2021-09-08 : 13,13,Volví,"
 
 Aventura、 バッド・バニー 
 ","
 

 Volví - Single


 "
2021-09-08 : 14,14,Being Honest,"
 
 Kay Flock 
 ","
 

 Being Honest - Single


 "
2021-09-08 : 15,15,IYKYK,"
 
 B-Lovee 
 ","
 

 IYKYK - Single


 "
2021-09-08 : 16,16,Yonaguni,"
 
 バッド・バニー 
 ","
 

 Yonaguni - Single


 "
2021-09-08 : 17,17,No Time For Sleep (Freestyle),"
 
 Bobby Shmurda 
 ","
 

 No Time For Sleep (Freestyle) - Single


 "
2021-09-08 : 18,18,2/Catorce,"
 
 ラウ・アレハンドロ、 Mr. Naisgai 
 ","
 

 2/Catorce - Single


 "
2021-09-08 : 19,19,family ties,"
 
 Baby Keem、 ケンドリック・ラマー 
 ","
 

 family ties - Single


 "
2021-09-08 : 2,2,Fair Trade (feat. Travis Scott),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-08 : 20,20,Essence (feat. Justin Bieber & Tems),"
 
 WizKid 
 ","
 

 Made In Lagos: Deluxe Edition


 "
2021-09-08 : 21,21,Ley Seca,"
 
 ジャイ・コルテッツ、 アヌエルAA 
 ","
 

 Timelezz


 "
2021-09-08 : 22,22,Woman,"
 
 Doja Cat 
 ","
 

 Planet Her


 "
2021-09-08 : 23,23,Todo De Ti,"
 
 ラウ・アレハンドロ 
 ","
 

 Todo De Ti - Single


 "
2021-09-08 : 24,24,La Mamá de la Mamá (feat. El Cherry Scom),"
 
 El Alfa、 CJ、 Chael Produciendo 
 ","
 

 La Mamá de la Mamá (feat. El Cherry Scom) - Single


 "
2021-09-08 : 25,25,Need To Know,"
 
 Doja Cat 
 ","
 

 Planet Her


 "
2021-09-08 : 3,3,Way 2 Sexy (feat. Future & Young Thug),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-08 : 4,4,GYALIS,"
 
 Capella Grey 
 ","
 

 GYALIS - Single


 "
2021-09-08 : 5,5,Hurricane,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-08 : 6,6,Off The Grid,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-08 : 7,7,Pepas,"
 
 Farruko 
 ","
 

 Pepas - Single


 "
2021-09-08 : 8,8,Jail,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-08 : 9,9,Sharing Locations (feat. Lil Baby & Lil Durk),"
 
 ミーク・ミル 
 ","
 

 Sharing Locations (feat. Lil Baby & Lil Durk) - Single


 "
2021-09-09 : 1,1,Girls Want Girls (feat. Lil Baby),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-09 : 10,10,Blue Notes 2 (feat. Lil Uzi Vert),"
 
 ミーク・ミル 
 ","
 

 Blue Notes 2 (feat. Lil Uzi Vert) - Single


 "
2021-09-09 : 11,11,Essence (feat. Tems),"
 
 WizKid 
 ","
 

 Made In Lagos


 "
2021-09-09 : 12,12,STAY,"
 
 ザ・キッド・ラロイ、 ジャスティン・ビーバー 
 ","
 

 STAY - Single


 "
2021-09-09 : 13,13,Being Honest,"
 
 Kay Flock 
 ","
 

 Being Honest - Single


 "
2021-09-09 : 14,14,Volví,"
 
 Aventura、 バッド・バニー 
 ","
 

 Volví - Single


 "
2021-09-09 : 15,15,IYKYK,"
 
 B-Lovee 
 ","
 

 IYKYK - Single


 "
2021-09-09 : 16,16,family ties,"
 
 Baby Keem、 ケンドリック・ラマー 
 ","
 

 family ties - Single


 "
2021-09-09 : 17,17,Yonaguni,"
 
 バッド・バニー 
 ","
 

 Yonaguni - Single


 "
2021-09-09 : 18,18,2/Catorce,"
 
 ラウ・アレハンドロ、 Mr. Naisgai 
 ","
 

 2/Catorce - Single


 "
2021-09-09 : 19,19,Ley Seca,"
 
 ジャイ・コルテッツ、 アヌエルAA 
 ","
 

 Timelezz


 "
2021-09-09 : 2,2,Fair Trade (feat. Travis Scott),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-09 : 20,20,No Time For Sleep (Freestyle),"
 
 Bobby Shmurda 
 ","
 

 No Time For Sleep (Freestyle) - Single


 "
2021-09-09 : 21,21,Essence (feat. Justin Bieber & Tems),"
 
 WizKid 
 ","
 

 Made In Lagos: Deluxe Edition


 "
2021-09-09 : 22,22,Need To Know,"
 
 Doja Cat 
 ","
 

 Planet Her


 "
2021-09-09 : 23,23,2055,"
 
 Sleepy Hallow 
 ","
 

 2055 - Single


 "
2021-09-09 : 24,24,Woman,"
 
 Doja Cat 
 ","
 

 Planet Her


 "
2021-09-09 : 25,25,Todo De Ti,"
 
 ラウ・アレハンドロ 
 ","
 

 Todo De Ti - Single


 "
2021-09-09 : 3,3,Way 2 Sexy (feat. Future & Young Thug),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-09 : 4,4,GYALIS,"
 
 Capella Grey 
 ","
 

 GYALIS - Single


 "
2021-09-09 : 5,5,Hurricane,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-09 : 6,6,Off The Grid,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-09 : 7,7,Pepas,"
 
 Farruko 
 ","
 

 Pepas - Single


 "
2021-09-09 : 8,8,Moon,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-09 : 9,9,Sharing Locations (feat. Lil Baby & Lil Durk),"
 
 ミーク・ミル 
 ","
 

 Sharing Locations (feat. Lil Baby & Lil Durk) - Single


 "
2021-09-10 : 1,1,Girls Want Girls (feat. Lil Baby),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-10 : 10,10,Blue Notes 2 (feat. Lil Uzi Vert),"
 
 ミーク・ミル 
 ","
 

 Blue Notes 2 (feat. Lil Uzi Vert) - Single


 "
2021-09-10 : 11,11,STAY,"
 
 ザ・キッド・ラロイ、 ジャスティン・ビーバー 
 ","
 

 STAY - Single


 "
2021-09-10 : 12,12,Essence (feat. Tems),"
 
 WizKid 
 ","
 

 Made In Lagos


 "
2021-09-10 : 13,13,Being Honest,"
 
 Kay Flock 
 ","
 

 Being Honest - Single


 "
2021-09-10 : 14,14,Volví,"
 
 Aventura、 バッド・バニー 
 ","
 

 Volví - Single


 "
2021-09-10 : 15,15,IYKYK,"
 
 B-Lovee 
 ","
 

 IYKYK - Single


 "
2021-09-10 : 16,16,family ties,"
 
 Baby Keem、 ケンドリック・ラマー 
 ","
 

 family ties - Single


 "
2021-09-10 : 17,17,Yonaguni,"
 
 バッド・バニー 
 ","
 

 Yonaguni - Single


 "
2021-09-10 : 18,18,2055,"
 
 Sleepy Hallow 
 ","
 

 2055 - Single


 "
2021-09-10 : 19,19,2/Catorce,"
 
 ラウ・アレハンドロ、 Mr. Naisgai 
 ","
 

 2/Catorce - Single


 "
2021-09-10 : 2,2,Way 2 Sexy (feat. Future & Young Thug),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-10 : 20,20,Ley Seca,"
 
 ジャイ・コルテッツ、 アヌエルAA 
 ","
 

 Timelezz


 "
2021-09-10 : 21,21,Need To Know,"
 
 Doja Cat 
 ","
 

 Planet Her


 "
2021-09-10 : 22,22,Woman,"
 
 Doja Cat 
 ","
 

 Planet Her


 "
2021-09-10 : 23,23,Essence (feat. Justin Bieber & Tems),"
 
 WizKid 
 ","
 

 Made In Lagos: Deluxe Edition


 "
2021-09-10 : 24,24,No Time For Sleep (Freestyle),"
 
 Bobby Shmurda 
 ","
 

 No Time For Sleep (Freestyle) - Single


 "
2021-09-10 : 25,25,Todo De Ti,"
 
 ラウ・アレハンドロ 
 ","
 

 Todo De Ti - Single


 "
2021-09-10 : 3,3,Fair Trade (feat. Travis Scott),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-10 : 4,4,GYALIS,"
 
 Capella Grey 
 ","
 

 GYALIS - Single


 "
2021-09-10 : 5,5,Hurricane,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-10 : 6,6,Off The Grid,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-10 : 7,7,Pepas,"
 
 Farruko 
 ","
 

 Pepas - Single


 "
2021-09-10 : 8,8,Sharing Locations (feat. Lil Baby & Lil Durk),"
 
 ミーク・ミル 
 ","
 

 Sharing Locations (feat. Lil Baby & Lil Durk) - Single


 "
2021-09-10 : 9,9,Moon,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-11 : 1,1,Girls Want Girls (feat. Lil Baby),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-11 : 10,10,STAY,"
 
 ザ・キッド・ラロイ、 ジャスティン・ビーバー 
 ","
 

 STAY - Single


 "
2021-09-11 : 11,11,Blue Notes 2 (feat. Lil Uzi Vert),"
 
 ミーク・ミル 
 ","
 

 Blue Notes 2 (feat. Lil Uzi Vert) - Single


 "
2021-09-11 : 12,12,Being Honest,"
 
 Kay Flock 
 ","
 

 Being Honest - Single


 "
2021-09-11 : 13,13,Essence (feat. Tems),"
 
 WizKid 
 ","
 

 Made In Lagos


 "
2021-09-11 : 14,14,IYKYK,"
 
 B-Lovee 
 ","
 

 IYKYK - Single


 "
2021-09-11 : 15,15,Volví,"
 
 Aventura、 バッド・バニー 
 ","
 

 Volví - Single


 "
2021-09-11 : 16,16,family ties,"
 
 Baby Keem、 ケンドリック・ラマー 
 ","
 

 family ties - Single


 "
2021-09-11 : 17,17,2055,"
 
 Sleepy Hallow 
 ","
 

 2055 - Single


 "
2021-09-11 : 18,18,Yonaguni,"
 
 バッド・バニー 
 ","
 

 Yonaguni - Single


 "
2021-09-11 : 19,19,Nostálgico,"
 
 Rvssian、 ラウ・アレハンドロ、 クリス・ブラウン 
 ","
 

 Nostálgico - Single


 "
2021-09-11 : 2,2,Way 2 Sexy (feat. Future & Young Thug),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-11 : 20,20,2/Catorce,"
 
 ラウ・アレハンドロ、 Mr. Naisgai 
 ","
 

 2/Catorce - Single


 "
2021-09-11 : 21,21,Need To Know,"
 
 Doja Cat 
 ","
 

 Planet Her


 "
2021-09-11 : 22,22,Woman,"
 
 Doja Cat 
 ","
 

 Planet Her


 "
2021-09-11 : 23,23,Ley Seca,"
 
 ジャイ・コルテッツ、 アヌエルAA 
 ","
 

 Timelezz (Apple Music Edition)


 "
2021-09-11 : 24,24,Wants and Needs (feat. Lil Baby),"
 
 ドレイク 
 ","
 

 Scary Hours 2


 "
2021-09-11 : 25,25,24 Hours (feat. Lil Durk),"
 
 エイ・ブギー・ウィット・ダ・フーディ 
 ","
 

 24 Hours (feat. Lil Durk) - Single


 "
2021-09-11 : 3,3,Fair Trade (feat. Travis Scott),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-11 : 4,4,GYALIS,"
 
 Capella Grey 
 ","
 

 GYALIS - Single


 "
2021-09-11 : 5,5,Hurricane,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-11 : 6,6,Off The Grid,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-11 : 7,7,Moon,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-11 : 8,8,Pepas,"
 
 Farruko 
 ","
 

 Pepas - Single


 "
2021-09-11 : 9,9,Sharing Locations (feat. Lil Baby & Lil Durk),"
 
 ミーク・ミル 
 ","
 

 Sharing Locations (feat. Lil Baby & Lil Durk) - Single


 "
2021-09-12 : 1,1,Girls Want Girls (feat. Lil Baby),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-12 : 10,10,STAY,"
 
 ザ・キッド・ラロイ、 ジャスティン・ビーバー 
 ","
 

 STAY - Single


 "
2021-09-12 : 11,11,Have Mercy,"
 
 Chlöe 
 ","
 

 Have Mercy - Single


 "
2021-09-12 : 12,12,Being Honest,"
 
 Kay Flock 
 ","
 

 Being Honest - Single


 "
2021-09-12 : 13,13,Essence (feat. Tems),"
 
 WizKid 
 ","
 

 Made In Lagos


 "
2021-09-12 : 14,14,Blue Notes 2 (feat. Lil Uzi Vert),"
 
 ミーク・ミル 
 ","
 

 Blue Notes 2 (feat. Lil Uzi Vert) - Single


 "
2021-09-12 : 15,15,IYKYK,"
 
 B-Lovee 
 ","
 

 IYKYK - Single


 "
2021-09-12 : 16,16,range brothers,"
 
 Baby Keem、 ケンドリック・ラマー 
 ","
 

 The Melodic Blue


 "
2021-09-12 : 17,17,Volví,"
 
 Aventura、 バッド・バニー 
 ","
 

 Volví - Single


 "
2021-09-12 : 18,18,Nostálgico,"
 
 Rvssian、 ラウ・アレハンドロ、 クリス・ブラウン 
 ","
 

 Nostálgico - Single


 "
2021-09-12 : 19,19,Story Time,"
 
 Fivio Foreign 
 ","
 

 Story Time - Single


 "
2021-09-12 : 2,2,Way 2 Sexy (feat. Future & Young Thug),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-12 : 20,20,2055,"
 
 Sleepy Hallow 
 ","
 

 2055 - Single


 "
2021-09-12 : 21,21,Yonaguni,"
 
 バッド・バニー 
 ","
 

 Yonaguni - Single


 "
2021-09-12 : 22,22,family ties,"
 
 Baby Keem、 ケンドリック・ラマー 
 ","
 

 family ties - Single


 "
2021-09-12 : 23,23,Need To Know,"
 
 Doja Cat 
 ","
 

 Planet Her


 "
2021-09-12 : 24,24,Woman,"
 
 Doja Cat 
 ","
 

 Planet Her


 "
2021-09-12 : 25,25,In Da Getto,"
 
 J. バルヴィン、 スクリレックス 
 ","
 

 In Da Getto - Single


 "
2021-09-12 : 3,3,Fair Trade (feat. Travis Scott),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-12 : 4,4,GYALIS,"
 
 Capella Grey 
 ","
 

 GYALIS - Single


 "
2021-09-12 : 5,5,Hurricane,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-12 : 6,6,Off The Grid,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-12 : 7,7,Pepas,"
 
 Farruko 
 ","
 

 Pepas - Single


 "
2021-09-12 : 8,8,Sharing Locations (feat. Lil Baby & Lil Durk),"
 
 ミーク・ミル 
 ","
 

 Sharing Locations (feat. Lil Baby & Lil Durk) - Single


 "
2021-09-12 : 9,9,Moon,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-13 : 1,1,Girls Want Girls (feat. Lil Baby),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-13 : 10,10,Essence (feat. Tems),"
 
 WizKid 
 ","
 

 Made In Lagos


 "
2021-09-13 : 11,11,range brothers,"
 
 Baby Keem、 ケンドリック・ラマー 
 ","
 

 The Melodic Blue


 "
2021-09-13 : 12,12,STAY,"
 
 ザ・キッド・ラロイ、 ジャスティン・ビーバー 
 ","
 

 STAY - Single


 "
2021-09-13 : 13,13,Being Honest,"
 
 Kay Flock 
 ","
 

 Being Honest - Single


 "
2021-09-13 : 14,14,Moon,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-13 : 15,15,Volví,"
 
 Aventura、 バッド・バニー 
 ","
 

 Volví - Single


 "
2021-09-13 : 16,16,family ties,"
 
 Baby Keem、 ケンドリック・ラマー 
 ","
 

 family ties - Single


 "
2021-09-13 : 17,17,Blue Notes 2 (feat. Lil Uzi Vert),"
 
 ミーク・ミル 
 ","
 

 Blue Notes 2 (feat. Lil Uzi Vert) - Single


 "
2021-09-13 : 18,18,Story Time,"
 
 Fivio Foreign 
 ","
 

 Story Time - Single


 "
2021-09-13 : 19,19,IYKYK,"
 
 B-Lovee 
 ","
 

 IYKYK - Single


 "
2021-09-13 : 2,2,Way 2 Sexy (feat. Future & Young Thug),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-13 : 20,20,Nostálgico,"
 
 Rvssian、 ラウ・アレハンドロ、 クリス・ブラウン 
 ","
 

 Nostálgico - Single


 "
2021-09-13 : 21,21,Yonaguni,"
 
 バッド・バニー 
 ","
 

 Yonaguni - Single


 "
2021-09-13 : 22,22,In Da Getto,"
 
 J. バルヴィン、 スクリレックス 
 ","
 

 JOSE


 "
2021-09-13 : 23,23,Curazao,"
 
 El Alfa、 Farruko 
 ","
 

 Curazao - Single


 "
2021-09-13 : 24,24,2/Catorce,"
 
 ラウ・アレハンドロ、 Mr. Naisgai 
 ","
 

 2/Catorce - Single


 "
2021-09-13 : 25,25,Woman,"
 
 Doja Cat 
 ","
 

 Planet Her


 "
2021-09-13 : 3,3,Fair Trade (feat. Travis Scott),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-13 : 4,4,GYALIS,"
 
 Capella Grey 
 ","
 

 GYALIS - Single


 "
2021-09-13 : 5,5,Hurricane,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-13 : 6,6,Pepas,"
 
 Farruko 
 ","
 

 Pepas - Single


 "
2021-09-13 : 7,7,Off The Grid,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-13 : 8,8,Have Mercy,"
 
 Chlöe 
 ","
 

 Have Mercy - Single


 "
2021-09-13 : 9,9,Sharing Locations (feat. Lil Baby & Lil Durk),"
 
 ミーク・ミル 
 ","
 

 Sharing Locations (feat. Lil Baby & Lil Durk) - Single


 "
2021-09-14 : 1,1,Way 2 Sexy (feat. Future & Young Thug),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-14 : 10,10,Being Honest,"
 
 Kay Flock 
 ","
 

 Being Honest - Single


 "
2021-09-14 : 11,11,Sharing Locations (feat. Lil Baby & Lil Durk),"
 
 ミーク・ミル 
 ","
 

 Sharing Locations (feat. Lil Baby & Lil Durk) - Single


 "
2021-09-14 : 12,12,STAY,"
 
 ザ・キッド・ラロイ、 ジャスティン・ビーバー 
 ","
 

 STAY - Single


 "
2021-09-14 : 13,13,Volví,"
 
 Aventura、 バッド・バニー 
 ","
 

 Volví - Single


 "
2021-09-14 : 14,14,Story Time,"
 
 Fivio Foreign 
 ","
 

 Story Time - Single


 "
2021-09-14 : 15,15,range brothers,"
 
 Baby Keem、 ケンドリック・ラマー 
 ","
 

 The Melodic Blue


 "
2021-09-14 : 16,16,IYKYK,"
 
 B-Lovee 
 ","
 

 IYKYK - Single


 "
2021-09-14 : 17,17,Moon,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-14 : 18,18,Blue Notes 2 (feat. Lil Uzi Vert),"
 
 ミーク・ミル 
 ","
 

 Blue Notes 2 (feat. Lil Uzi Vert) - Single


 "
2021-09-14 : 19,19,family ties,"
 
 Baby Keem、 ケンドリック・ラマー 
 ","
 

 family ties - Single


 "
2021-09-14 : 2,2,Girls Want Girls (feat. Lil Baby),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-14 : 20,20,Yonaguni,"
 
 バッド・バニー 
 ","
 

 Yonaguni - Single


 "
2021-09-14 : 21,21,Nostálgico,"
 
 Rvssian、 ラウ・アレハンドロ、 クリス・ブラウン 
 ","
 

 Nostálgico - Single


 "
2021-09-14 : 22,22,In Da Getto,"
 
 J. バルヴィン、 スクリレックス 
 ","
 

 JOSE


 "
2021-09-14 : 23,23,Curazao,"
 
 El Alfa、 Farruko 
 ","
 

 Curazao - Single


 "
2021-09-14 : 24,24,2/Catorce,"
 
 ラウ・アレハンドロ、 Mr. Naisgai 
 ","
 

 2/Catorce - Single


 "
2021-09-14 : 25,25,Woman,"
 
 Doja Cat 
 ","
 

 Planet Her


 "
2021-09-14 : 3,3,Fair Trade (feat. Travis Scott),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-14 : 4,4,GYALIS,"
 
 Capella Grey 
 ","
 

 GYALIS - Single


 "
2021-09-14 : 5,5,Pepas,"
 
 Farruko 
 ","
 

 Pepas - Single


 "
2021-09-14 : 6,6,Hurricane,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-14 : 7,7,Off The Grid,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-14 : 8,8,Have Mercy,"
 
 Chlöe 
 ","
 

 Have Mercy - Single


 "
2021-09-14 : 9,9,Essence (feat. Tems),"
 
 WizKid 
 ","
 

 Made In Lagos


 "
2021-09-15 : 1,1,Way 2 Sexy (feat. Future & Young Thug),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-15 : 10,10,STAY,"
 
 ザ・キッド・ラロイ、 ジャスティン・ビーバー 
 ","
 

 STAY - Single


 "
2021-09-15 : 11,11,Sharing Locations (feat. Lil Baby & Lil Durk),"
 
 ミーク・ミル 
 ","
 

 Sharing Locations (feat. Lil Baby & Lil Durk) - Single


 "
2021-09-15 : 12,12,Essence (feat. Tems),"
 
 WizKid 
 ","
 

 Made In Lagos


 "
2021-09-15 : 13,13,IYKYK,"
 
 B-Lovee 
 ","
 

 IYKYK - Single


 "
2021-09-15 : 14,14,Volví,"
 
 Aventura、 バッド・バニー 
 ","
 

 Volví - Single


 "
2021-09-15 : 15,15,family ties,"
 
 Baby Keem、 ケンドリック・ラマー 
 ","
 

 family ties - Single


 "
2021-09-15 : 16,16,Moon,"
 
 カニエ・ウェスト 
 ","
 

 Donda


 "
2021-09-15 : 17,17,Story Time,"
 
 Fivio Foreign 
 ","
 

 Story Time - Single


 "
2021-09-15 : 18,18,range brothers,"
 
 Baby Keem、 ケンドリック・ラマー 
 ","
 

 The Melodic Blue


 "
2021-09-15 : 19,19,Blue Notes 2 (feat. Lil Uzi Vert),"
 
 ミーク・ミル 
 ","
 

 Blue Notes 2 (feat. Lil Uzi Vert) - Single


 "
2021-09-15 : 2,2,Girls Want Girls (feat. Lil Baby),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-15 : 20,20,Yonaguni,"
 
 バッド・バニー 
 ","
 

 Yonaguni - Single


 "
2021-09-15 : 21,21,Nostálgico,"
 
 Rvssian、 ラウ・アレハンドロ、 クリス・ブラウン 
 ","
 

 Nostálgico - Single


 "
2021-09-15 : 22,22,2055,"
 
 Sleepy Hallow 
 ","
 

 2055 - Single


 "
2021-09-15 : 23,23,Need To Know,"
 
 Doja Cat 
 ","
 

 Planet Her


 "
2021-09-15 : 24,24,Curazao,"
 
 El Alfa、 Farruko 
 ","
 

 Curazao - Single


 "
2021-09-15 : 25,25,2/Catorce,"
 
 ラウ・アレハンドロ、 Mr. Naisgai 
 ","
 

 2/Catorce - Single


 "
2021-09-15 : 3,3,Fair Trade (feat. Travis Scott),"
 
 ドレイク 
 ","
 

 Certified Lover Boy


 "
2021-09-15 : 4,4,GYALIS,"
 
 Capella Grey 
 ","
 

 GYALIS - Single


 "
